The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 5, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1500                         10                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                            0                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            3                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

Sample input file
 The initial temperature is: 138.346


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            159          10.79       -3596.48        1669.67       -5266.15       -6366.46         4.7136              1
            160         10.795       -3596.32        1678.54       -5274.86       -6300.41        4.68007              1
            161           10.8       -3596.68        1689.61        -5286.3       -6216.15        4.63714              1
            162         10.805       -3596.85        1701.74       -5298.59       -6124.57        4.59054              1
            163          10.81       -3597.01        1713.17       -5310.19        -6037.8        4.54635              1
            164         10.815       -3597.26        1721.95        -5319.2       -5969.72        4.51156              1
            165          10.82       -3597.27        1726.65       -5323.92       -5931.29        4.49178              1
            166         10.825       -3596.86         1726.9       -5323.76       -5925.82        4.48872              1
            167          10.83       -3596.89        1723.26       -5320.14       -5946.82         4.4989              1
            168         10.835       -3596.95        1716.94        -5313.9        -5986.9        4.51871              1
            169          10.84       -3596.55         1709.7       -5306.25       -6035.34        4.54287              1
            170         10.845       -3596.56        1703.62       -5300.18       -6074.78        4.56243              1
            171          10.85       -3596.58        1700.68       -5297.27       -6092.54        4.57113              1
            172         10.855       -3596.82        1701.93       -5298.75       -6080.79        4.56497              1
            173          10.86          -3597        1706.93       -5303.93       -6043.17        4.54584              1
            174         10.865       -3596.95        1714.29       -5311.24       -5990.13        4.51904              1
            175          10.87       -3597.37        1722.42       -5319.79       -5930.73        4.48897              1
            176         10.875       -3597.76        1729.96       -5327.72       -5876.51        4.46159              1
            177          10.88       -3597.92        1735.55       -5333.47       -5838.03         4.4423              1
            178         10.885       -3598.39        1737.67       -5336.07       -5824.43        4.43557              1
            179          10.89       -3598.84        1735.02       -5333.86       -5845.81        4.44655              1
            180         10.895       -3598.66        1727.18       -5325.84       -5906.58         4.4776              1
            181           10.9       -3598.87        1715.21       -5314.07       -5995.86        4.52294              1
            182         10.905       -3598.67        1701.55       -5300.22        -6098.5        4.57514              1
            183          10.91       -3598.04        1689.28       -5287.32       -6192.64        4.62316              1
            184         10.915       -3597.64        1680.97       -5278.61       -6257.47        4.65631              1
