The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Sample input file
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                       120.27                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            0                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

 The coordinates are generated by putting atoms on a periodic lattice.
 The velocities are taken from a Maxwellian distribution.
 The initial temperature is: 119.366


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            163           0.81       -3596.39        1740.37       -5336.77       -5891.43        4.47645              1
            164          0.815       -3595.91        1741.48       -5337.39       -5893.96        4.47858              1
            165           0.82          -3596        1738.96       -5334.96       -5919.92        4.49233              1
            166          0.825       -3596.02        1733.59       -5329.61       -5965.48        4.51591              1
            167           0.83       -3596.01        1726.44       -5322.45       -6022.64        4.54524              1
            168          0.835       -3595.95        1718.59       -5314.53        -6083.2        4.57615              1
            169           0.84       -3595.59        1711.46       -5307.04       -6137.55        4.60385              1
            170          0.845       -3595.56        1706.83       -5302.39       -6171.08         4.6208              1
            171           0.85       -3595.45        1706.41       -5301.86       -6173.25        4.62183              1
            172          0.855       -3595.14        1710.99       -5306.12       -6139.22        4.60456              1
            173           0.86       -3595.44        1719.77       -5315.21       -6072.32        4.57046              1
            174          0.865       -3595.64        1730.51       -5326.15       -5990.68        4.52888              1
            175           0.87       -3595.48        1740.41       -5335.89       -5914.91        4.49025              1
            176          0.875       -3595.41        1747.31       -5342.72       -5859.09        4.46155              1
            177           0.88       -3595.18        1750.47       -5345.64       -5829.63        4.44612              1
            178          0.885       -3595.15        1750.53       -5345.68       -5821.48        4.44138              1
            179           0.89       -3594.97        1748.82       -5343.78       -5826.87        4.44354              1
            180          0.895       -3595.31        1746.55       -5341.87       -5835.38        4.44719              1
            181            0.9       -3595.37        1744.38       -5339.75       -5844.72         4.4514              1
            182          0.905       -3595.64        1742.48       -5338.12       -5851.89        4.45449              1
            183           0.91       -3595.62        1740.77       -5336.39       -5858.53        4.45739              1
            184          0.915       -3595.52        1739.07       -5334.59       -5865.12        4.46025              1
            185           0.92       -3595.66        1737.05       -5332.71       -5872.75        4.46354              1
            186          0.925       -3595.63        1734.46       -5330.08       -5884.42        4.46887              1
            187           0.93       -3595.88        1731.34       -5327.21        -5898.5        4.47529              1
            188          0.935       -3596.17        1728.12       -5324.29       -5912.75        4.48177              1
            189           0.94       -3596.55        1725.36       -5321.91       -5923.22        4.48629              1
            190          0.945       -3596.94         1723.5       -5320.44       -5927.07        4.48745              1
            191           0.95       -3596.81        1722.93       -5319.75       -5923.09        4.48479              1
            192          0.955       -3596.78        1724.06       -5320.85       -5906.72        4.47585              1
            193           0.96       -3596.84           1727       -5323.84       -5877.29        4.46031              1
            194          0.965       -3596.66        1731.19       -5327.84       -5839.77        4.44076              1
            195           0.97       -3596.75        1735.48       -5332.23        -5800.6         4.4203              1
            196          0.975       -3596.63        1738.82       -5335.45       -5768.65        4.40352              1
            197           0.98       -3596.35        1740.76       -5337.11       -5747.05        4.39199              1
            198          0.985       -3596.27        1741.49       -5337.77       -5733.69        4.38458              1
            199           0.99       -3595.95        1741.65        -5337.6       -5725.77        4.38003              1
            200          0.995       -3595.83        1742.16       -5337.98       -5715.97        4.37458              1


   Total mass                       :               1000
   Coordinates of the center of mass:            5.18036        5.21045        5.25122
   Velocity of the center of mass   :         0.00411343       -0.03896     -0.0399279
   Translational kinetic energy     :            1.56452


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            201              1       -3595.88        1743.92        -5339.8       -5698.43        4.36533              1
            202          1.005       -3595.63        1747.38       -5343.01       -5671.78        4.35172              1
            203           1.01       -3595.39        1752.27       -5347.67       -5637.02         4.3342              1
            204          1.015       -3595.79        1757.79       -5353.58       -5598.04        4.31457              1
            205           1.02       -3596.01        1762.92       -5358.94       -5564.11        4.29769              1
            206          1.025       -3596.33        1766.73       -5363.06       -5540.89         4.2863              1
            207           1.03       -3596.29        1768.36       -5364.66       -5535.36        4.28401              1
            208          1.035       -3596.58        1767.19       -5363.77       -5549.47         4.2916              1
            209           1.04       -3596.86        1762.99       -5359.84       -5585.46        4.31025              1
            210          1.045       -3597.11        1756.04       -5353.15       -5640.87        4.33867              1
            211           1.05       -3597.27         1747.3       -5344.57       -5708.97        4.37349              1
            212          1.055       -3596.91        1738.55       -5335.46       -5778.62        4.40921              1
            213           1.06       -3596.55        1732.24        -5328.8       -5831.27         4.4364              1
            214          1.065        -3596.6        1730.22       -5326.82       -5852.84        4.44786              1
            215           1.07       -3596.47        1732.22       -5328.68       -5846.71        4.44543              1
            216          1.075       -3596.51        1736.42       -5332.93       -5824.01        4.43458              1
            217           1.08        -3596.6        1741.33       -5337.93       -5795.14        4.42053              1
            218          1.085       -3596.71        1746.44       -5343.15       -5763.78        4.40513              1
            219           1.09       -3596.73        1751.61       -5348.35       -5731.43        4.38919              1
            220          1.095       -3597.12        1756.46       -5353.58       -5699.82         4.3735              1
            221            1.1       -3597.01        1760.09       -5357.11       -5677.73        4.36267              1
            222          1.105       -3596.83        1761.43       -5358.26       -5671.38        4.35973              1
            223           1.11       -3596.78        1759.65       -5356.43       -5685.75        4.36712              1
            224          1.115       -3596.73        1754.67        -5351.4       -5721.65        4.38525              1
            225           1.12       -3596.86        1747.44        -5344.3       -5771.85        4.41046              1
            226          1.125       -3596.53        1739.66       -5336.19       -5826.41        4.43789              1
            227           1.13       -3596.24        1732.95       -5329.19       -5872.36        4.46091              1
            228          1.135       -3596.38        1728.26       -5324.64       -5901.78        4.47542              1
            229           1.14        -3596.6        1725.97       -5322.57       -5912.76        4.48051              1
            230          1.145       -3596.75        1726.15        -5322.9       -5905.17        4.47616              1
            231           1.15        -3596.9        1728.54       -5325.44       -5880.57        4.46314              1
            232          1.155       -3596.81        1732.64       -5329.45       -5843.73        4.44393              1
            233           1.16       -3596.63        1737.69       -5334.32       -5799.95        4.42121              1
            234          1.165       -3597.06        1742.69       -5339.75       -5754.77        4.39765              1
            235           1.17       -3597.46        1746.49       -5343.95       -5718.91        4.37884              1
            236          1.175       -3597.38        1748.01       -5345.39       -5701.68        4.36963              1
            237           1.18       -3597.36        1746.69       -5344.05       -5705.87        4.37131              1
            238          1.185       -3597.61         1742.5       -5340.11       -5731.08        4.38364              1
            239           1.19       -3597.57        1735.86       -5333.43       -5776.12        4.40617              1
            240          1.195        -3596.8        1727.59       -5324.39       -5836.32        4.43662              1
            241            1.2       -3597.14         1719.2       -5316.33        -5895.5        4.46642              1
            242          1.205       -3596.84         1712.7       -5309.54       -5944.75        4.49149              1
            243           1.21       -3596.58        1709.75       -5306.33       -5970.47        4.50485              1
            244          1.215       -3596.19        1710.69       -5306.88       -5970.56        4.50545              1
            245           1.22       -3596.21        1714.37       -5310.58       -5951.22        4.49626              1
            246          1.225          -3596        1718.72       -5314.72        -5928.3        4.48537              1
            247           1.23       -3596.04        1721.81       -5317.84       -5913.56        4.47854              1
            248          1.235       -3596.21        1722.66       -5318.87       -5914.03        4.47931              1
            249           1.24       -3596.08        1721.34       -5317.42       -5930.79        4.48837              1
            250          1.245       -3595.69         1718.4        -5314.1       -5959.83        4.50368              1
            251           1.25       -3595.57        1714.52        -5310.1       -5994.97        4.52202              1
            252          1.255       -3595.71        1710.32       -5306.03       -6031.74        4.54112              1
            253           1.26       -3596.12        1706.34       -5302.46       -6066.03         4.5589              1
            254          1.265       -3595.86        1702.99       -5298.85       -6097.51         4.5754              1
            255           1.27       -3595.77        1700.43        -5296.2       -6122.26        4.58841              1
            256          1.275       -3595.51        1698.64       -5294.14       -6141.05        4.59838              1
            257           1.28       -3595.82        1697.55       -5293.37       -6151.73        4.60401              1
            258          1.285        -3595.7        1697.18       -5292.88       -6157.09        4.60694              1
            259           1.29       -3595.91         1697.6        -5293.5       -6154.23         4.6055              1
            260          1.295        -3595.7        1698.91       -5294.61       -6144.65        4.60065              1
            261            1.3       -3595.42        1701.27       -5296.69       -6126.37        4.59132              1
            262          1.305       -3595.36        1705.04        -5300.4       -6096.54        4.57603              1
            263           1.31       -3595.65        1710.67       -5306.32       -6052.05        4.55324              1
            264          1.315       -3595.67        1718.44       -5314.11       -5993.44        4.52342              1
            265           1.32       -3595.81        1727.96       -5323.76       -5922.87        4.48761              1
            266          1.325        -3595.8        1738.01       -5333.82       -5849.86        4.45068              1
            267           1.33       -3595.87        1746.89       -5342.76       -5785.97        4.41842              1
            268          1.335       -3595.84        1752.86       -5348.69       -5743.89        4.39723              1
            269           1.34        -3595.5        1754.67       -5350.17       -5732.91        4.39185              1
            270          1.345       -3595.39           1752       -5347.39       -5753.73        4.40251              1
            271           1.35       -3595.35        1745.64       -5340.99       -5801.55        4.42682              1
            272          1.355       -3595.18        1737.31       -5332.49       -5864.95        4.45912              1
            273           1.36       -3595.14        1729.32       -5324.47       -5927.26        4.49098              1
            274          1.365       -3594.82        1723.72       -5318.55       -5975.47        4.51598              1
            275           1.37       -3594.81         1721.4       -5316.21       -6001.41        4.52983              1
            276          1.375       -3595.11        1721.64       -5316.75       -6009.58        4.53476              1
            277           1.38       -3595.14        1722.86          -5318       -6012.41        4.53714              1
            278          1.385       -3595.09        1723.82       -5318.91       -6017.72        4.54081              1
            279           1.39       -3595.31        1724.11       -5319.42       -6027.17        4.54653              1
            280          1.395       -3595.59        1723.88       -5319.47       -6040.43        4.55417              1
            281            1.4       -3595.22        1723.77       -5318.99        -6055.3        4.56283              1
            282          1.405       -3595.56        1724.73       -5320.29       -6061.28         4.5669              1
            283           1.41       -3595.43        1727.25       -5322.68       -6058.65        4.56684              1
            284          1.415       -3595.78        1730.81        -5326.6       -6048.21         4.5628              1
            285           1.42       -3595.98        1734.08       -5330.07       -6041.05        4.56052              1
            286          1.425       -3596.33        1735.41       -5331.75       -6047.31        4.56497              1
            287           1.43       -3596.55        1733.49       -5330.04       -6076.51        4.58097              1
            288          1.435       -3596.35        1727.88       -5324.23       -6131.97        4.61021              1
            289           1.44       -3595.95         1719.2       -5315.15       -6208.26        4.64987              1
            290          1.445        -3595.7        1708.88       -5304.59       -6293.84        4.69401              1
            291           1.45       -3595.55        1698.96       -5294.51       -6374.39        4.73544              1
            292          1.455       -3595.22        1691.71       -5286.93        -6434.6         4.7665              1
            293           1.46        -3594.7        1689.12       -5283.82       -6460.63        4.78026              1
            294          1.465       -3594.45        1692.07       -5286.52       -6444.98         4.7728              1
            295           1.47        -3594.9         1699.8        -5294.7       -6391.74        4.74611              1
            296          1.475       -3595.01        1710.18       -5305.19       -6318.91        4.70948              1
            297           1.48       -3595.25        1720.71       -5315.96       -6242.94         4.6711              1
            298          1.485       -3595.71        1729.28       -5324.99       -6178.63         4.6384              1
            299           1.49       -3596.03        1734.48        -5330.5       -6137.61        4.61739              1
            300          1.495       -3596.14        1735.34       -5331.47       -6127.23         4.6118              1


   Total mass                       :               1000
   Coordinates of the center of mass:            5.27634        5.22227        5.26257
